Date,Price
6/20/16,278492.4697
6/21/16,254714.0189
6/22/16,239069.7399
6/23/16,239069.7399
6/24/16,239069.7399
6/25/16,239069.7399
6/26/16,239069.7399
6/27/16,239069.7399
6/28/16,239069.7399
6/29/16,239069.7399
6/30/16,239069.7399
7/1/16,239069.7399
7/2/16,239069.7399
7/3/16,239069.7399
7/4/16,239069.7399
7/5/16,239069.7399
7/6/16,239069.7399
7/7/16,239069.7399
7/8/16,239069.7399
7/9/16,239069.7399
7/10/16,239069.7399
7/11/16,239069.7399
7/12/16,239069.7399
7/13/16,239069.7399
7/14/16,239069.7399
7/15/16,239069.7399
7/16/16,239069.7399
7/17/16,239069.7399
7/18/16,239069.7399
7/19/16,239069.7399
7/20/16,239069.7399
7/21/16,239069.7399
7/22/16,239069.7399
7/23/16,239069.7399
7/24/16,239069.7399
7/25/16,239069.7399
7/26/16,239069.7399
7/27/16,239069.7399
7/28/16,239069.7399
7/29/16,239069.7399
7/30/16,239069.7399
7/31/16,239069.7399
8/1/16,239069.7399
8/2/16,239069.7399
8/3/16,224433.3608
8/4/16,235309.0935
8/5/16,241112.1539
8/6/16,239265.3525
8/7/16,242839.9393
8/8/16,244247.6123
8/9/16,242745.5472
8/10/16,240681.2336
8/11/16,244165.5323
8/12/16,241280.4181
8/13/16,241210.65
8/14/16,240681.2336
8/15/16,235978.046
8/16/16,233023.1638
8/17/16,237631.9593
8/18/16,235756.4299
8/19/16,235608.6858
8/20/16,235436.3176
8/21/16,238801.6002
8/22/16,238563.568
8/23/16,240168.2332
8/24/16,239015.0083
8/25/16,237406.2391
8/26/16,236220.1822
8/27/16,237742.7674
8/28/16,234274.8847
8/29/16,236150.4142
8/30/16,235247.5335
8/31/16,235961.63
9/1/16,235116.2054
9/2/16,235169.5574
9/3/16,236478.7344
9/4/16,246615.6221
9/5/16,251134.1296
9/6/16,248577.3356
9/7/16,251573.2579
9/8/16,252484.3466
9/9/16,257721.0546
9/10/16,255299.6928
9/11/16,255985.0613
9/12/16,249500.7363
9/13/16,249008.256
9/14/16,249783.9126
9/15/16,249701.8325
9/16/16,248474.7356
9/17/16,249496.6323
9/18/16,249492.5283
9/19/16,250920.7214
9/20/16,249771.6005
9/21/16,248540.3996
9/22/16,245010.9569
9/23/16,244686.7407
9/24/16,247456.9428
9/25/16,247752.431
9/26/16,246927.5264
9/27/16,249147.7921
9/28/16,248585.5436
9/29/16,248310.5754
9/30/16,248700.4557
10/1/16,249931.6567
10/2/16,252664.9228
10/3/16,251331.1217
10/4/16,251573.2579
10/5/16,250485.6971
10/6/16,251643.026
10/7/16,251117.7136
10/8/16,253621.1555
10/9/16,254244.964
10/10/16,253391.3313
10/11/16,253924.8517
10/12/16,263528.219
10/13/16,260930.3851
10/14/16,260877.033
10/15/16,261849.6818
10/16/16,261903.0338
10/17/16,263446.139
10/18/16,262477.5942
10/19/16,260651.3128
